Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Preparation Method,Wastage Food Amount
Vegetables,290,Social Gathering,374,Room Temperature,All Seasons,Finger Food,27
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Sit-down Dinner,25
Vegetables,350,Corporate,450,Refrigerated,Summer,Buffet,40
Fruits,267,Wedding,480,Refrigerated,Winter,Sit-down Dinner,30
Fruits,290,Birthday,374,Refrigerated,Winter,Finger Food,27
Fruits,300,Wedding,450,Room Temperature,Summer,Finger Food,35
Meat,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,50
Fruits,250,Birthday,350,Room Temperature,Summer,Finger Food,30
Vegetables,310,Birthday,350,Refrigerated,Summer,Finger Food,35
Meat,290,Social Gathering,374,Refrigerated,Summer,Finger Food,27
Meat,250,Birthday,350,Refrigerated,Winter,Sit-down Dinner,40
Baked Goods,220,Wedding,300,Room Temperature,Summer,Buffet,10
Meat,400,Birthday,500,Refrigerated,Winter,Sit-down Dinner,45
Vegetables,250,Corporate,350,Refrigerated,Summer,Buffet,10
Vegetables,350,Corporate,450,Refrigerated,Summer,Finger Food,30
Meat,300,Birthday,400,Refrigerated,All Seasons,Finger Food,20
Meat,250,Birthday,350,Refrigerated,Winter,Finger Food,20
Meat,261,Wedding,350,Refrigerated,Summer,Sit-down Dinner,23
Meat,400,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,30
Vegetables,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,40
Fruits,320,Social Gathering,400,Room Temperature,Summer,Buffet,30
Fruits,300,Wedding,400,Refrigerated,Winter,Sit-down Dinner,15
Vegetables,280,Birthday,350,Room Temperature,Summer,Finger Food,15
Meat,220,Wedding,300,Refrigerated,Winter,Finger Food,23
Vegetables,300,Corporate,400,Refrigerated,Winter,Finger Food,15
Meat,250,Wedding,350,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Baked Goods,380,Social Gathering,400,Room Temperature,Summer,Finger Food,25
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,30
Dairy Products,230,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,30
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,380,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,342,Social Gathering,405,Room Temperature,All Seasons,Finger Food,29
Fruits,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,40
Vegetables,275,Wedding,388,Room Temperature,All Seasons,Finger Food,16
Vegetables,220,Social Gathering,300,Refrigerated,Winter,Finger Food,15
Baked Goods,280,Wedding,400,Room Temperature,All Seasons,Buffet,25
Vegetables,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,40
Baked Goods,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,25
Meat,350,Social Gathering,450,Refrigerated,Summer,Sit-down Dinner,35
Dairy Products,300,Corporate,450,Room Temperature,Winter,Finger Food,35
Fruits,300,Corporate,450,Room Temperature,All Seasons,Finger Food,35
Dairy Products,472,Social Gathering,489,Room Temperature,Summer,Buffet,36
Fruits,397,Wedding,482,Room Temperature,Summer,Sit-down Dinner,31
Dairy Products,439,Birthday,459,Room Temperature,All Seasons,Buffet,39
Vegetables,220,Corporate,300,Refrigerated,Summer,Finger Food,15
Fruits,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Fruits,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,300,Corporate,420,Room Temperature,All Seasons,Finger Food,20
Baked Goods,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,50
Baked Goods,280,Corporate,350,Room Temperature,Summer,Finger Food,20
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,350,Corporate,450,Room Temperature,Summer,Sit-down Dinner,40
Dairy Products,400,Wedding,350,Room Temperature,Summer,Sit-down Dinner,35
Meat,350,Social Gathering,450,Refrigerated,All Seasons,Sit-down Dinner,45
Fruits,250,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Baked Goods,350,Corporate,450,Refrigerated,All Seasons,Sit-down Dinner,25
Dairy Products,290,Social Gathering,374,Room Temperature,Winter,Finger Food,27
Dairy Products,400,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,280,Corporate,350,Room Temperature,Summer,Finger Food,20
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,25
Meat,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,45
Baked Goods,320,Birthday,400,Room Temperature,Winter,Buffet,30
Fruits,310,Corporate,450,Room Temperature,All Seasons,Buffet,25
Vegetables,220,Wedding,300,Refrigerated,Summer,Finger Food,15
Vegetables,367,Social Gathering,420,Refrigerated,Summer,Buffet,40
Meat,350,Birthday,450,Refrigerated,Summer,Sit-down Dinner,25
Dairy Products,250,Wedding,500,Room Temperature,Winter,Buffet,40
Dairy Products,472,Corporate,489,Room Temperature,Winter,Buffet,36
Baked Goods,250,Wedding,350,Room Temperature,All Seasons,Buffet,10
Fruits,220,Social Gathering,450,Refrigerated,Summer,Finger Food,20
Vegetables,380,Corporate,480,Refrigerated,Summer,Buffet,30
Meat,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Fruits,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,40
Fruits,380,Birthday,400,Room Temperature,Winter,Finger Food,25
Baked Goods,250,Birthday,350,Room Temperature,Winter,Buffet,20
Meat,350,Birthday,450,Refrigerated,Winter,Sit-down Dinner,25
Fruits,491,Birthday,497,Room Temperature,All Seasons,Finger Food,32
Fruits,380,Birthday,480,Room Temperature,Summer,Buffet,30
Meat,292,Social Gathering,470,Refrigerated,Summer,Sit-down Dinner,50
Vegetables,400,Birthday,500,Refrigerated,Winter,Sit-down Dinner,25
Baked Goods,300,Birthday,450,Room Temperature,Summer,Finger Food,35
Baked Goods,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Buffet,10
Baked Goods,220,Corporate,300,Room Temperature,Summer,Sit-down Dinner,15
Fruits,230,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,20
Vegetables,320,Birthday,400,Refrigerated,All Seasons,Finger Food,25
Baked Goods,450,Corporate,500,Room Temperature,Summer,Finger Food,30
Fruits,400,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,40
Fruits,342,Corporate,405,Room Temperature,All Seasons,Finger Food,29
Dairy Products,400,Wedding,350,Room Temperature,Winter,Sit-down Dinner,35
Vegetables,220,Corporate,300,Refrigerated,Summer,Finger Food,15
Vegetables,240,Birthday,450,Refrigerated,All Seasons,Finger Food,30
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Finger Food,35
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Buffet,30
Dairy Products,488,Corporate,498,Room Temperature,Summer,Finger Food,63
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Finger Food,30
Meat,230,Birthday,500,Refrigerated,All Seasons,Sit-down Dinner,30
Meat,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Dairy Products,280,Wedding,350,Room Temperature,Winter,Finger Food,20
Fruits,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Finger Food,40
Baked Goods,380,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Fruits,250,Social Gathering,350,Refrigerated,Winter,Sit-down Dinner,20
Dairy Products,300,Corporate,400,Room Temperature,Winter,Sit-down Dinner,20
Dairy Products,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Baked Goods,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,25
Vegetables,320,Social Gathering,400,Refrigerated,Summer,Finger Food,25
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,280,Corporate,480,Room Temperature,All Seasons,Sit-down Dinner,15
Dairy Products,450,Social Gathering,500,Room Temperature,All Seasons,Finger Food,30
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,40
Vegetables,300,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,20
Baked Goods,220,Social Gathering,450,Room Temperature,All Seasons,Finger Food,30
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,247,Social Gathering,348,Room Temperature,All Seasons,Finger Food,16
Dairy Products,400,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,400,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,35
Meat,320,Birthday,400,Refrigerated,Winter,Buffet,30
Meat,280,Wedding,400,Refrigerated,Winter,Buffet,25
Meat,320,Corporate,400,Room Temperature,Summer,Buffet,45
Meat,310,Corporate,450,Refrigerated,All Seasons,Buffet,25
Meat,350,Birthday,450,Refrigerated,Summer,Finger Food,20
Meat,400,Wedding,350,Refrigerated,Summer,Sit-down Dinner,35
Meat,350,Birthday,450,Refrigerated,Winter,Finger Food,30
Meat,350,Birthday,450,Refrigerated,Winter,Finger Food,30
Meat,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,50
Fruits,320,Wedding,400,Refrigerated,Summer,Sit-down Dinner,35
Fruits,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,40
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Dairy Products,434,Social Gathering,495,Room Temperature,Winter,Sit-down Dinner,36
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Meat,320,Birthday,480,Refrigerated,Winter,Buffet,40
Meat,350,Corporate,450,Refrigerated,Summer,Buffet,40
Meat,400,Corporate,500,Refrigerated,Winter,Buffet,30
Meat,310,Birthday,350,Refrigerated,Winter,Finger Food,35
Meat,380,Wedding,500,Refrigerated,Winter,Sit-down Dinner,35
Meat,220,Wedding,300,Refrigerated,Summer,Finger Food,15
Meat,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Fruits,310,Wedding,350,Refrigerated,All Seasons,Finger Food,35
Meat,434,Birthday,495,Refrigerated,Winter,Sit-down Dinner,36
Fruits,488,Corporate,498,Room Temperature,Summer,Finger Food,63
Fruits,275,Corporate,388,Room Temperature,Winter,Finger Food,16
Meat,300,Wedding,400,Refrigerated,All Seasons,Finger Food,15
Meat,220,Wedding,300,Room Temperature,Winter,Sit-down Dinner,15
Meat,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,25
Meat,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,40
Meat,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Meat,220,Birthday,300,Refrigerated,Winter,Finger Food,15
Vegetables,350,Birthday,450,Room Temperature,Summer,Finger Food,30
Vegetables,220,Corporate,300,Refrigerated,Winter,Sit-down Dinner,15
Baked Goods,220,Birthday,300,Room Temperature,Summer,Finger Food,15
Dairy Products,300,Birthday,400,Room Temperature,Summer,Buffet,20
Vegetables,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Baked Goods,350,Corporate,450,Room Temperature,Summer,Finger Food,20
Fruits,280,Corporate,350,Room Temperature,Winter,Finger Food,20
Baked Goods,320,Wedding,400,Room Temperature,Summer,Buffet,35
Meat,280,Birthday,350,Room Temperature,Summer,Finger Food,20
Meat,207,Corporate,280,Room Temperature,Winter,Finger Food,20
Fruits,275,Corporate,388,Room Temperature,Winter,Finger Food,16
Vegetables,400,Wedding,350,Refrigerated,Summer,Sit-down Dinner,35
Meat,250,Wedding,350,Refrigerated,All Seasons,Sit-down Dinner,20
Meat,400,Birthday,500,Refrigerated,All Seasons,Sit-down Dinner,40
Fruits,350,Birthday,450,Room Temperature,All Seasons,Finger Food,30
Baked Goods,300,Wedding,400,Room Temperature,All Seasons,Finger Food,20
Meat,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,250,Birthday,350,Room Temperature,All Seasons,Buffet,20
Fruits,320,Birthday,400,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,292,Wedding,470,Room Temperature,Summer,Sit-down Dinner,50
Dairy Products,350,Birthday,450,Refrigerated,All Seasons,Finger Food,20
Vegetables,320,Wedding,400,Refrigerated,Winter,Buffet,30
Fruits,472,Birthday,489,Room Temperature,Summer,Buffet,36
Meat,320,Corporate,400,Refrigerated,Winter,Finger Food,15
Fruits,320,Wedding,400,Refrigerated,All Seasons,Buffet,35
Meat,453,Wedding,484,Refrigerated,Summer,Sit-down Dinner,54
Dairy Products,290,Wedding,374,Room Temperature,All Seasons,Finger Food,27
Dairy Products,350,Birthday,450,Room Temperature,Summer,Sit-down Dinner,35
Fruits,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Fruits,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,280,Corporate,400,Room Temperature,All Seasons,Buffet,25
Baked Goods,250,Wedding,350,Room Temperature,Summer,Finger Food,30
Fruits,320,Corporate,400,Refrigerated,Summer,Finger Food,20
Meat,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,25
Vegetables,267,Wedding,393,Room Temperature,Summer,Sit-down Dinner,24
Baked Goods,450,Corporate,500,Room Temperature,Summer,Finger Food,30
Meat,220,Wedding,300,Refrigerated,Summer,Finger Food,20
Meat,300,Wedding,400,Refrigerated,Summer,Finger Food,25
Fruits,320,Birthday,400,Room Temperature,Winter,Buffet,30
Meat,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,40
Meat,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Dairy Products,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,50
Fruits,442,Wedding,452,Room Temperature,All Seasons,Sit-down Dinner,32
Baked Goods,247,Birthday,348,Room Temperature,All Seasons,Finger Food,16
Baked Goods,380,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Fruits,320,Wedding,400,Room Temperature,Winter,Sit-down Dinner,35
Meat,290,Social Gathering,374,Refrigerated,All Seasons,Finger Food,27
Fruits,320,Birthday,400,Room Temperature,Summer,Sit-down Dinner,40
Vegetables,438,Birthday,493,Refrigerated,Winter,Sit-down Dinner,33
Dairy Products,280,Birthday,350,Room Temperature,Summer,Finger Food,15
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Dairy Products,280,Wedding,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,400,Birthday,500,Room Temperature,All Seasons,Sit-down Dinner,45
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,350,Wedding,450,Room Temperature,Summer,Sit-down Dinner,25
Dairy Products,220,Wedding,300,Room Temperature,All Seasons,Sit-down Dinner,15
Dairy Products,260,Corporate,400,Room Temperature,Winter,Sit-down Dinner,20
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,412,Social Gathering,478,Room Temperature,Winter,Sit-down Dinner,38
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Buffet,25
Meat,230,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,30
Baked Goods,350,Birthday,450,Room Temperature,Summer,Finger Food,30
Baked Goods,302,Corporate,371,Room Temperature,All Seasons,Buffet,27
Baked Goods,488,Corporate,498,Room Temperature,Summer,Finger Food,63
Vegetables,350,Corporate,450,Room Temperature,Summer,Sit-down Dinner,35
Fruits,310,Corporate,450,Room Temperature,All Seasons,Buffet,25
Fruits,280,Birthday,350,Refrigerated,Summer,Finger Food,20
Meat,250,Wedding,350,Refrigerated,Winter,Sit-down Dinner,25
Meat,230,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,20
Meat,250,Birthday,350,Refrigerated,Winter,Finger Food,20
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Vegetables,208,Social Gathering,282,Room Temperature,Summer,Sit-down Dinner,22
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,20
Meat,250,Birthday,350,Room Temperature,Summer,Sit-down Dinner,20
Fruits,260,Wedding,400,Room Temperature,All Seasons,Sit-down Dinner,20
Meat,300,Social Gathering,400,Room Temperature,Winter,Finger Food,15
Dairy Products,400,Wedding,400,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,400,Birthday,500,Room Temperature,Winter,Sit-down Dinner,40
Meat,350,Social Gathering,450,Refrigerated,Winter,Sit-down Dinner,25
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,Finger Food,40
Baked Goods,320,Corporate,400,Room Temperature,Summer,Finger Food,25
Baked Goods,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,50
Dairy Products,270,Wedding,400,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Dairy Products,280,Birthday,350,Room Temperature,Summer,Finger Food,20
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,50
Vegetables,220,Corporate,300,Refrigerated,All Seasons,Finger Food,15
Baked Goods,247,Corporate,348,Room Temperature,Summer,Finger Food,16
Fruits,320,Social Gathering,400,Refrigerated,Winter,Buffet,40
Dairy Products,320,Birthday,400,Room Temperature,Summer,Buffet,35
Fruits,250,Birthday,500,Refrigerated,Winter,Sit-down Dinner,40
Dairy Products,320,Corporate,400,Room Temperature,Winter,Buffet,45
Meat,220,Birthday,300,Refrigerated,Summer,Finger Food,15
Dairy Products,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,45
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,247,Corporate,348,Room Temperature,All Seasons,Finger Food,16
Dairy Products,280,Corporate,350,Room Temperature,Winter,Finger Food,20
Baked Goods,247,Social Gathering,348,Room Temperature,Summer,Finger Food,16
Baked Goods,230,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,30
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,40
Baked Goods,220,Social Gathering,450,Room Temperature,All Seasons,Finger Food,30
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,15
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,Sit-down Dinner,20
Vegetables,350,Corporate,450,Refrigerated,All Seasons,Sit-down Dinner,30
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,30
